id,name,model_id:id,group_id:id,perm_read,perm_write,perm_create,perm_unlink

access_hse_employee_training_hr_user,hse.employee.training,model_hse_employee_training,hr.group_hr_user,1,1,0,0
access_hse_employee_training_user,hse.employee.training,model_hse_employee_training,group_hse_employee_training_user,1,1,0,0
access_hse_employee_training_manager,hse.employee.training,model_hse_employee_training,group_hse_employee_training_manager,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
access_hse_employee_training_line_hr_user,hse.employee.training.line,model_hse_employee_training_line,hr.group_hr_user,1,1,1,0
access_hse_employee_training_line_user,hse.employee.training.line,model_hse_employee_training_line,group_hse_employee_training_user,1,1,0,0
access_hse_employee_training_line_manager,hse.employee.training.line,model_hse_employee_training_line,group_hse_employee_training_manager,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
access_hse_employee_daily_instruction_hr_user,hse.employee.daily.instruction,model_hse_employee_daily_instruction,hr.group_hr_user,1,1,0,0
access_hse_employee_daily_instruction_user,hse.employee.daily.instruction,model_hse_employee_daily_instruction,group_hse_employee_training_user,1,1,0,0
access_hse_employee_daily_instruction_manager,hse.employee.daily.instruction,model_hse_employee_daily_instruction,group_hse_employee_training_manager,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
access_hse_employee_daily_instruction_line_hr_user,hse.employee.daily.instruction.line,model_hse_employee_daily_instruction_line,hr.group_hr_user,1,1,0,0
access_hse_employee_daily_instruction_line_user,hse.employee.daily.instruction.line,model_hse_employee_daily_instruction_line,group_hse_employee_training_user,1,1,0,0
access_hse_employee_daily_instruction_line_manager,hse.employee.daily.instruction.line,model_hse_employee_daily_instruction_line,group_hse_employee_training_manager,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
access_hse_hse_training_title_hr_user,hse.training.title,model_hse_training_title,hr.group_hr_user,1,1,0,0
access_hse_hse_training_title_user,hse.training.title,model_hse_training_title,group_hse_employee_training_user,1,1,0,0
access_hse_hse_training_title_manager,hse.training.title,model_hse_training_title,group_hse_employee_training_manager,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
access_hse_partner_training_line_hr_user,hse.partner.training.line,model_hse_partner_training_line,hr.group_hr_user,1,1,0,0
access_hse_partner_training_line_user,hse.partner.training.line,model_hse_partner_training_line,group_hse_employee_training_user,1,1,0,0
access_hse_partner_training_line_manager,hse.partner.training.line,model_hse_partner_training_line,group_hse_employee_training_manager,1,1,1,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
access_hr_timetable_line_manager,hr.timetable.line,mw_timetable.model_hr_timetable_line,group_hse_employee_training_user,1,1,0,0
access_hr_timetable_line_line_manager,hr.timetable.line.line,mw_timetable.model_hr_timetable_line_line,group_hse_employee_training_user,1,1,0,0
